分類號,作者,品名,創作年代,媒材技術,尺寸,網址,link,圖片連結
M0423,陳建榮,Aircraft32,2020,壓克力顏料、綜合媒材、畫布,162 x 260.5 cm,https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
O0868,林鉅,雙溪圖鑑(一)：月下猿戲圖,2007,油彩、畫布,240 x 165 cm,https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
O0869,陳張莉,雲與山的對話,1995,油彩、畫布,30 x 30 cm,https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
O0870,陳張莉,束無縛,2013,油彩、畫布,30 x 30 cm,https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
O0871,郭維國,新樂園,1994,油彩、畫布,259 x 390 cm,https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
O0872,李明則,葫蘆問,2014,壓克力顏料、畫布,260 x 582 cm,https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
P0373,莊普,一片雲 一塊石 一棵樹,2002-2008,絹印,74 x 55 cm (x3),https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
P0374,鄭政煌,生死無常,1999,紙漿版、橡膠凸版,60 x 121x 8 cm,https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
S0148,何恆雄,騎馬戰,1991,銅,400 x 160 x 230 cm,https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
Sk214,杜十三(黃人和),時間,1995,簽字筆、紙,50 x 21 cm,https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
Sk215,洪瑞麟,山形雪地,1937,墨、淡彩、紙,25.5 x 26.5 cm,https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
W0294,蕭勤,無題,1996,壓克力彩、紙,50 x 67 cm,https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
W0295,林鴻文,錯向,1997,壓克力顏料、紙,49 x 67.5 cm,https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
